"","Question_number","Chart_type","A","B","Largest","difference"
"1","Q1","Treemap",10,11,"B","10%"
"2","Q2","Bubble Chart",10,12,"B","20%"
"3","Q3","Donut chart",15,10,"A","50%"
"4","Q4","Blob plot",22,20,"A","10%"
"5","Q5","Treemap",12,10,"A","20%"
"6","Q6","Bubble Chart",15,10,"A","50%"
"7","Q7","Donut chart",20,22,"B","10%"
"8","Q8","Blob plot",20,24,"B","20%"
"9","Q9","Treemap",30,20,"A","50%"
"10","Q10","Bubble Chart",11,10,"A","10%"
"11","Q11","Donut chart",20,30,"B","50%"
"12","Q12","Blob plot",10,15,"B","50%"
"13","Q13","Treemap",10,15,"B","50%"
"14","Q14","Bubble Chart",20,22,"B","10%"
"15","Q15","Donut chart",11,10,"A","10%"
"16","Q16","Blob plot",10,11,"B","10%"
"17","Q17","Treemap",22,20,"A","10%"
"18","Q18","Bubble Chart",20,30,"B","50%"
"19","Q19","Donut chart",10,12,"B","20%"
"20","Q20","Blob plot",12,10,"A","20%"
"21","Q21","Treemap",20,24,"B","20%"
"22","Q22","Bubble Chart",24,20,"A","20%"
"23","Q23","Donut chart",24,20,"A","20%"
"24","Q24","Blob plot",30,20,"A","50%"
